date,dow,time,branch_name,district_name,branch_num,dep_point,arr_point,lane,distance,volume,speed
2019-01-01,2,0:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,,71.71
2019-01-01,2,1:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,1904,75.67
2019-01-01,2,2:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,985,86.92
2019-01-01,2,3:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,591,89.33
2019-01-01,2,4:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,552,91.25
2019-01-01,2,5:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,625,87.83
2019-01-01,2,6:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,802,86.42
2019-01-01,2,7:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,1051,81.33
2019-01-01,2,8:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,1306,83.92
2019-01-01,2,9:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,1882,82.92
2019-01-01,2,10:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2675,81.67
2019-01-01,2,11:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3244,62.58
2019-01-01,2,12:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3038,77.67
2019-01-01,2,13:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2968,78.67
2019-01-01,2,14:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3237,76.92
2019-01-01,2,15:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3505,32
2019-01-01,2,16:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3237,19.58
2019-01-01,2,17:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2670,48.83
2019-01-01,2,18:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2655,76
2019-01-01,2,19:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2744,75.17
2019-01-01,2,20:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3126,69.83
2019-01-01,2,21:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2753,73.42
2019-01-01,2,22:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2022,80.17
2019-01-01,2,23:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,1187,85.33
2019-01-02,3,0:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,739,88.25
2019-01-02,3,1:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,431,88.42
2019-01-02,3,2:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,301,87.17
2019-01-02,3,3:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,335,87
2019-01-02,3,4:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,579,84.75
2019-01-02,3,5:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,2086,83.17
2019-01-02,3,6:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3762,50.92
2019-01-02,3,7:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3234,12.08
2019-01-02,3,8:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3686,19.75
2019-01-02,3,9:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3828,28.83
2019-01-02,3,10:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3762,75.42
2019-01-02,3,11:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3302,79
2019-01-02,3,12:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3082,79.58
2019-01-02,3,13:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3253,76.67
2019-01-02,3,14:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3461,65.42
2019-01-02,3,15:00:00,청담대교,광진구,C-17,청담대교북단,청담대교남단,3,1575,3746,46.17
