date,dow,time,branch_name,district_name,branch_num,dep_point,arr_point,lane,distance,volume,speed
2019-01-01,2,0:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,60.8
2019-01-01,2,1:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,59.86
2019-01-01,2,2:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,62.31
2019-01-01,2,3:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,65.04
2019-01-01,2,4:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,64.03
2019-01-01,2,5:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,60.96
2019-01-01,2,6:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,58.67
2019-01-01,2,7:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,50.85
2019-01-01,2,8:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,53.81
2019-01-01,2,9:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,56.52
2019-01-01,2,10:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,54.07
2019-01-01,2,11:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,51.12
2019-01-01,2,12:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,49.39
2019-01-01,2,13:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,47.74
2019-01-01,2,14:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,40.64
2019-01-01,2,15:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,49.31
2019-01-01,2,16:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,50.16
2019-01-01,2,17:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,50.07
2019-01-01,2,18:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,49.87
2019-01-01,2,19:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,49.91
2019-01-01,2,20:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,51.28
2019-01-01,2,21:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,51.76
2019-01-01,2,22:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,54.62
2019-01-01,2,23:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,59.34
2019-01-02,3,0:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,62.58
2019-01-02,3,1:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,60.3
2019-01-02,3,2:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,58.26
2019-01-02,3,3:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,60.47
2019-01-02,3,4:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,60.11
2019-01-02,3,5:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,56.75
2019-01-02,3,6:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,53.21
2019-01-02,3,7:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,49.22
2019-01-02,3,8:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,39.64
2019-01-02,3,9:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,44.48
2019-01-02,3,10:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,,50.77
2019-01-02,3,11:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,3952,49.35
2019-01-02,3,12:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,3608,51.32
2019-01-02,3,13:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,3803,50.75
2019-01-02,3,14:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,3801,49.22
2019-01-02,3,15:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,4077,48.36
2019-01-02,3,16:00:00,성산대교,영등포구,C-04,성산대교남단,성산대교북단,3,1177,4868,49.21
