datetime,dow,branch_name,district_name,lane,branch_num,dep_point,arr_point,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24
2019-01-01,2,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,3,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,,,,,,,,,,,,3952,3608,3803,3801,4077,4868,4207,4605,4138,3921,3560,3463,2742
2019-01-03,4,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,1986,1421,990,825,1099,2672,3400,3877,3799,3085,4077,4220,3834,3854,3833,3984,4836,4188,3895,4408,4091,3801,3610,3016
2019-01-04,5,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2158,1499,1099,868,1026,2642,3374,3884,4054,3921,3879,3784,3888,3971,4046,4053,4014,4102,4057,3987,4227,3921,3871,3336
2019-01-05,6,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2699,2096,1654,1305,1394,2438,3012,2933,3314,3614,3924,4115,4060,3932,4130,4153,5016,4285,3367,3437,3422,3458,3388,2814
2019-01-06,7,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2318,1710,1235,917,969,1276,1505,1957,2628,3300,4309,3848,3802,3936,3866,4131,4449,3922,3693,3218,3378,3261,2737,2051
2019-01-07,1,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,1428,929,620,648,1018,2766,3614,4017,3939,3701,4025,4114,3813,3894,3981,4155,4299,4247,4326,4392,3972,3674,3459,2738
2019-01-08,2,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2092,1558,1000,832,1098,2626,3551,3983,3977,3968,4095,4005,3870,3996,4169,4699,5120,4371,4127,4261,4184,3842,3846,2767
2019-01-09,3,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2102,1426,966,784,1080,2561,3460,3923,3968,3256,2941,2972,3274,3083,3351,2711,4421,4291,4239,4134,4047,3855,3623,3013
2019-01-10,4,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2209,1588,1108,825,1087,2659,3569,4059,4030,4002,4104,4175,4248,3993,4015,4087,4257,4192,3829,4373,3931,3768,3769,3089
2019-01-11,5,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2346,1676,1170,947,1131,2582,3535,4047,4210,3820,3899,3403,2878,3076,3716,3431,2883,4019,4085,4158,4021,3938,3935,3524
2019-01-12,6,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2797,2130,1662,1305,1360,2454,2990,3220,3557,3507,3556,2494,2583,2441,3081,2780,4013,4027,3844,3540,3483,3536,3456,2950
2019-01-13,7,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2377,1832,1302,949,966,1283,1644,1890,2751,3437,3525,2631,2294,3153,2014,2180,2562,3292,3441,3387,3348,3130,2794,2105
2019-01-14,1,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,1416,899,637,596,1026,2619,3504,4031,4040,3512,3161,2922,1842,2436,3073,2981,3899,4182,4633,4346,3778,3645,3467,2607
2019-01-15,2,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,1964,1400,910,819,1017,2551,3558,3916,4169,3390,3565,3500,3410,3515,3352,3436,3190,4098,3904,4286,4087,3800,3701,3139
2019-01-16,3,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2224,1492,1019,797,968,2151,3552,3915,4340,4059,4022,3856,3760,3665,3895,3855,3851,4136,3957,4200,4008,3658,3518,2742
2019-01-17,4,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2069,1479,1038,797,1071,2466,3325,2539,3704,3642,3386,3636,3925,3808,3840,3872,4240,4240,4349,4123,3888,3544,3618,1697
2019-01-18,5,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,,,,894,1084,2483,3433,3899,4180,3853,4074,3714,3498,3707,3860,3858,4058,4163,3857,3510,4039,4074,3891,3347
2019-01-19,6,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2745,2147,1658,1305,1371,2459,3056,3214,3755,3715,3762,4042,3983,4096,4019,4081,3952,3996,3634,3499,3455,3370,3350,2717
2019-01-20,7,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2188,1779,1319,1042,982,1256,1688,2027,3036,3584,3902,3985,4033,4052,4113,3998,3880,3803,3481,3288,3290,3273,2809,2176
2019-01-21,1,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,1411,894,640,578,936,2622,3624,4006,4195,3475,3299,3353,2995,3244,3285,3348,3516,4222,4325,4343,3791,3560,3426,2647
2019-01-22,2,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,1983,1327,928,790,1055,2388,3313,3989,4376,3615,3146,3131,3129,3054,2991,3308,3891,4229,4382,4205,4060,3634,3577,2660
2019-01-23,3,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2027,1608,1001,833,1018,2426,3417,3983,4407,3341,2981,3082,3273,3358,3624,3743,4232,4104,4266,4329,4123,3863,3666,2980
2019-01-24,4,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2238,1498,1062,887,1071,2480,3408,3960,4325,3255,3190,3097,3138,3317,3478,3195,3733,4114,4298,3977,3876,3735,3819,3137
2019-01-25,5,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,2794,1658,1118,876,1109,2457,3405,3846,4407,3445,3171,3189,3238,3381,3596,3529,4147,4127,4121,4171,4109,4228,3916,3255
2019-01-26,6,성산대교,마포구,3,C-04,성산대교남단,성산대교북단,3064,2153,1656,1230,1289,2401,2988,3160,3716,3203,3196,3211,3264,3267,3654,3515,4276,3938,3676,3512,3446,3515,3519,2703
