date,dow,time,branch_name,district_name,branch_num,dep_point,arr_point,lane,distance,volume,speed,classification
2019-01-01,2,0:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,2815,62.37,1
2019-01-01,2,1:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,2730,64.06,1
2019-01-01,2,2:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1971,64.43,1
2019-01-01,2,3:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1498,63.31,1
2019-01-01,2,4:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1355,62.64,1
2019-01-01,2,5:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1542,60.94,1
2019-01-01,2,6:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1959,59.01,1
2019-01-01,2,7:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,2112,60.5,1
2019-01-01,2,8:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,2388,44.39,2
2019-01-01,2,9:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,2911,55.39,1
2019-01-01,2,10:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,3740,59.72,1
2019-01-01,2,11:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4378,60.72,1
2019-01-01,2,12:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4746,60.14,1
2019-01-01,2,13:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4890,59.27,1
2019-01-01,2,14:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4843,59.91,1
2019-01-01,2,15:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4552,60.81,1
2019-01-01,2,16:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4643,59.96,1
2019-01-01,2,17:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,4467,59.99,1
2019-01-01,2,18:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,3992,59.72,1
2019-01-01,2,19:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,3865,60.85,1
2019-01-01,2,20:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,3846,59.07,1
2019-01-01,2,21:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,3362,60.23,1
2019-01-01,2,22:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,3018,62.22,1
2019-01-01,2,23:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,2160,61.57,1
2019-01-02,3,0:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1528,61.3,1
2019-01-02,3,1:00:00,한남대교,서초구,C-13,한남대교남단,한남대교북단,6,822,1026,59.12,1
